id,n_clauses,fl_problem,nl_problem,nl_solution,fl_problem_renamed,dsl_problem_renamed
19,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a d c d a d c d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AD,CD) = ∠(AD,CD) [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle a d c d a d c d",
20,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a d c d a d c d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AD:CD = AD:CD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio a d c d a d c d",
21,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle b c b d b c b d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(BC,BD) = ∠(BC,BD) [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle b c b d b c b d",
22,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio b c b d b c b d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> BC:BD = BC:BD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio b c b d b c b d",
23,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? sameclock b c d b c d",,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> BCD are sameclock to BCD [g0]

* Auxiliary Constructions:
Points : 

* Proof steps:
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? sameclock b c d b c d",
24,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle b c c d b c c d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(BC,CD) = ∠(BC,CD) [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle b c c d b c c d",
25,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio b c c d b c c d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> BC:CD = BC:CD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio b c c d b c c d",
26,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle b d c d b d c d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(BD,CD) = ∠(BD,CD) [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqangle b d c d b d c d",
27,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio b d c d b d c d",,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> BD:CD = BD:CD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? eqratio b d c d b d c d",
28,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? simtri b c d b c d",,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> BCD are sameclock to BCD [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(BC,CD) = ∠(BC,CD) [1]
001.  (Angle Chasing)=> ∠(BD,CD) = ∠(BD,CD) [2]
002. ∠(BC,CD) = ∠(BC,CD) [1], ∠(BD,CD) = ∠(BD,CD) [2], BCD are sameclock to BCD [0] (r34 AA Similarity of triangles (Direct))=> ▲BCD ≅ ▲BCD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? simtri b c d b c d",
29,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? simtri a c d a c d",,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> ACD are sameclock to ACD [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AC,CD) = ∠(AC,CD) [1]
001.  (Angle Chasing)=> ∠(AD,CD) = ∠(AD,CD) [2]
002. ∠(AC,CD) = ∠(AC,CD) [1], ∠(AD,CD) = ∠(AD,CD) [2], ACD are sameclock to ACD [0] (r34 AA Similarity of triangles (Direct))=> ▲ACD ≅ ▲ACD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? simtri a c d a c d",
30,3,"a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? simtri a b d a b d",,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> ABD are sameclock to ABD [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,BD) = ∠(AB,BD) [1]
001.  (Angle Chasing)=> ∠(AD,BD) = ∠(AD,BD) [2]
002. ∠(AB,BD) = ∠(AB,BD) [1], ∠(AD,BD) = ∠(AD,BD) [2], ABD are sameclock to ABD [0] (r34 AA Similarity of triangles (Direct))=> ▲ABD ≅ ▲ABD [g0]
==========================","a b = segment a b; c = on_dia c b a; d = angle_mirror d c a b, angle_bisector d a c b ? simtri a b d a b d",
31,2,a b = segment a b; c = on_dia c b a ? simtri a b c a b c,,"==========================
* From theorem premises:
Points : A, B, C
 (Numerical Check)=> ABC are sameclock to ABC [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,BC) = ∠(AB,BC) [1]
001.  (Angle Chasing)=> ∠(AC,BC) = ∠(AC,BC) [2]
002. ∠(AB,BC) = ∠(AB,BC) [1], ∠(AC,BC) = ∠(AC,BC) [2], ABC are sameclock to ABC [0] (r34 AA Similarity of triangles (Direct))=> ▲ABC ≅ ▲ABC [g0]
==========================",a b = segment a b; c = on_dia c b a ? simtri a b c a b c,
32,1,b c d = iso_triangle0 b c d ? ncoll b c d,,"==========================
* From theorem premises:
Points : B, C, D
 (Numerical Check)=> B, C, D are not collinear [g0]

* Auxiliary Constructions:
Points : 

* Proof steps:
==========================",a b c = iso_triangle0 a b c ? ncoll a b c,
33,1,b c d = iso_triangle0 b c d ? eqangle b c b d b c b d,,"==========================
* From theorem premises:
Points : B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(BC,BD) = ∠(BC,BD) [g0]
==========================",a b c = iso_triangle0 a b c ? eqangle a b a c a b a c,
34,1,b c d = iso_triangle0 b c d ? eqratio b c b d b d b c,,"==========================
* From theorem premises:
Points : B, C, D
 (Premise)=> BC = BD [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000. BC = BD [0] (Ratio Chasing)=> BC:BD = BD:BC [g0]
==========================",a b c = iso_triangle0 a b c ? eqratio a b a c a c a b,
35,1,b c d = iso_triangle0 b c d ? sameclock b c d b c d,,"==========================
* From theorem premises:
Points : B, C, D
 (Numerical Check)=> BCD are sameclock to BCD [g0]

* Auxiliary Constructions:
Points : 

* Proof steps:
==========================",a b c = iso_triangle0 a b c ? sameclock a b c a b c,
36,1,b c d = iso_triangle0 b c d ? eqratio b c c d b d c d,,"==========================
* From theorem premises:
Points : B, C, D
 (Premise)=> BC = BD [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000. BC = BD [0] (Ratio Chasing)=> BC:CD = BD:CD [g0]
==========================",a b c = iso_triangle0 a b c ? eqratio a b b c a c b c,
37,2,a = free a; b c d = iso_triangle0 b c d ? eqangle a b a c a b a c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,AC) = ∠(AB,AC) [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqangle a b a c a b a c,
38,2,a = free a; b c d = iso_triangle0 b c d ? eqratio a b a c a b a c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AB:AC = AB:AC [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqratio a b a c a b a c,
39,2,a = free a; b c d = iso_triangle0 b c d ? sameclock a b c a b c,,"==========================
* From theorem premises:
Points : A, B, C
 (Numerical Check)=> ABC are sameclock to ABC [g0]

* Auxiliary Constructions:
Points : 

* Proof steps:
==========================",a = free a; b c d = iso_triangle0 b c d ? sameclock a b c a b c,
40,2,a = free a; b c d = iso_triangle0 b c d ? eqangle a b b c a b b c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,BC) = ∠(AB,BC) [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqangle a b b c a b b c,
41,2,a = free a; b c d = iso_triangle0 b c d ? eqratio a b b c a b b c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AB:BC = AB:BC [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqratio a b b c a b b c,
42,2,a = free a; b c d = iso_triangle0 b c d ? eqangle a c b c a c b c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AC,BC) = ∠(AC,BC) [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqangle a c b c a c b c,
43,2,a = free a; b c d = iso_triangle0 b c d ? eqratio a c b c a c b c,,"==========================
* From theorem premises:
Points : A, B, C

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AC:BC = AC:BC [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqratio a c b c a c b c,
44,2,a = free a; b c d = iso_triangle0 b c d ? eqangle a b a d a b a d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,AD) = ∠(AB,AD) [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqangle a b a d a b a d,
45,2,a = free a; b c d = iso_triangle0 b c d ? eqratio a b a d a b a d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AB:AD = AB:AD [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqratio a b a d a b a d,
46,2,a = free a; b c d = iso_triangle0 b c d ? sameclock a b d a b d,,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> ABD are sameclock to ABD [g0]

* Auxiliary Constructions:
Points : 

* Proof steps:
==========================",a = free a; b c d = iso_triangle0 b c d ? sameclock a b d a b d,
47,2,a = free a; b c d = iso_triangle0 b c d ? eqangle a b b d a b b d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,BD) = ∠(AB,BD) [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqangle a b b d a b b d,
48,2,a = free a; b c d = iso_triangle0 b c d ? eqratio a b b d a b b d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AB:BD = AB:BD [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqratio a b b d a b b d,
49,2,a = free a; b c d = iso_triangle0 b c d ? eqangle a d b d a d b d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AD,BD) = ∠(AD,BD) [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqangle a d b d a d b d,
50,2,a = free a; b c d = iso_triangle0 b c d ? eqratio a d b d a d b d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AD:BD = AD:BD [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqratio a d b d a d b d,
51,2,a = free a; b c d = iso_triangle0 b c d ? eqangle a c a d a c a d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AC,AD) = ∠(AC,AD) [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqangle a c a d a c a d,
52,2,a = free a; b c d = iso_triangle0 b c d ? eqratio a c a d a c a d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AC:AD = AC:AD [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqratio a c a d a c a d,
53,2,a = free a; b c d = iso_triangle0 b c d ? sameclock a c d a c d,,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> ACD are sameclock to ACD [g0]

* Auxiliary Constructions:
Points : 

* Proof steps:
==========================",a = free a; b c d = iso_triangle0 b c d ? sameclock a c d a c d,
54,2,a = free a; b c d = iso_triangle0 b c d ? eqangle a c c d a c c d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AC,CD) = ∠(AC,CD) [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqangle a c c d a c c d,
55,2,a = free a; b c d = iso_triangle0 b c d ? eqratio a c c d a c c d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AC:CD = AC:CD [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqratio a c c d a c c d,
56,2,a = free a; b c d = iso_triangle0 b c d ? eqangle a d c d a d c d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AD,CD) = ∠(AD,CD) [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqangle a d c d a d c d,
57,2,a = free a; b c d = iso_triangle0 b c d ? eqratio a d c d a d c d,,"==========================
* From theorem premises:
Points : A, B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> AD:CD = AD:CD [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? eqratio a d c d a d c d,
58,1,b c d = iso_triangle0 b c d ? eqratio b c b d b c b d,,"==========================
* From theorem premises:
Points : B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> BC:BD = BC:BD [g0]
==========================",a b c = iso_triangle0 a b c ? eqratio a b a c a b a c,
59,1,b c d = iso_triangle0 b c d ? eqangle b c c d b c c d,,"==========================
* From theorem premises:
Points : B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(BC,CD) = ∠(BC,CD) [g0]
==========================",a b c = iso_triangle0 a b c ? eqangle a b b c a b b c,
60,1,b c d = iso_triangle0 b c d ? eqratio b c c d b c c d,,"==========================
* From theorem premises:
Points : B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> BC:CD = BC:CD [g0]
==========================",a b c = iso_triangle0 a b c ? eqratio a b b c a b b c,
61,1,b c d = iso_triangle0 b c d ? eqangle b d c d b d c d,,"==========================
* From theorem premises:
Points : B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(BD,CD) = ∠(BD,CD) [g0]
==========================",a b c = iso_triangle0 a b c ? eqangle a c b c a c b c,
62,1,b c d = iso_triangle0 b c d ? eqratio b d c d b d c d,,"==========================
* From theorem premises:
Points : B, C, D

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Ratio Chasing)=> BD:CD = BD:CD [g0]
==========================",a b c = iso_triangle0 a b c ? eqratio a c b c a c b c,
63,1,b c d = iso_triangle0 b c d ? simtri b c d b c d,,"==========================
* From theorem premises:
Points : B, C, D
 (Numerical Check)=> BCD are sameclock to BCD [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(BC,CD) = ∠(BC,CD) [1]
001.  (Angle Chasing)=> ∠(BD,CD) = ∠(BD,CD) [2]
002. ∠(BC,CD) = ∠(BC,CD) [1], ∠(BD,CD) = ∠(BD,CD) [2], BCD are sameclock to BCD [0] (r34 AA Similarity of triangles (Direct))=> ▲BCD ≅ ▲BCD [g0]
==========================",a b c = iso_triangle0 a b c ? simtri a b c a b c,
64,2,a = free a; b c d = iso_triangle0 b c d ? simtri a c d a c d,,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> ACD are sameclock to ACD [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AC,CD) = ∠(AC,CD) [1]
001.  (Angle Chasing)=> ∠(AD,CD) = ∠(AD,CD) [2]
002. ∠(AC,CD) = ∠(AC,CD) [1], ∠(AD,CD) = ∠(AD,CD) [2], ACD are sameclock to ACD [0] (r34 AA Similarity of triangles (Direct))=> ▲ACD ≅ ▲ACD [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? simtri a c d a c d,
65,2,a = free a; b c d = iso_triangle0 b c d ? simtri a b d a b d,,"==========================
* From theorem premises:
Points : A, B, C, D
 (Numerical Check)=> ABD are sameclock to ABD [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,BD) = ∠(AB,BD) [1]
001.  (Angle Chasing)=> ∠(AD,BD) = ∠(AD,BD) [2]
002. ∠(AB,BD) = ∠(AB,BD) [1], ∠(AD,BD) = ∠(AD,BD) [2], ABD are sameclock to ABD [0] (r34 AA Similarity of triangles (Direct))=> ▲ABD ≅ ▲ABD [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? simtri a b d a b d,
66,2,a = free a; b c d = iso_triangle0 b c d ? simtri a b c a b c,,"==========================
* From theorem premises:
Points : A, B, C
 (Numerical Check)=> ABC are sameclock to ABC [0]

* Auxiliary Constructions:
Points : 

* Proof steps:
000.  (Angle Chasing)=> ∠(AB,BC) = ∠(AB,BC) [1]
001.  (Angle Chasing)=> ∠(AC,BC) = ∠(AC,BC) [2]
002. ∠(AB,BC) = ∠(AB,BC) [1], ∠(AC,BC) = ∠(AC,BC) [2], ABC are sameclock to ABC [0] (r34 AA Similarity of triangles (Direct))=> ▲ABC ≅ ▲ABC [g0]
==========================",a = free a; b c d = iso_triangle0 b c d ? simtri a b c a b c,
67,1,b c d = iso_triangle0 b c d ? simtrir b c d b d c,,"==========================
* From theorem premises:
Points : B, C, D
 (Premise)=> BC = BD [0]
 (Numerical Check)=> BCD are sameclock to BCD [1]

* Auxiliary Constructions:
Points : 

* Proof steps:
000. BC = BD [0] (Ratio Chasing)=> BC:CD = BD:CD [2]
001. BC:CD = BD:CD [2], BCD are sameclock to BCD [1] (r61 SSS Similarity of triangles (Reverse))=> ▲BCD ≅ ▲BDC [g0]
==========================",a b c = iso_triangle0 a b c ? simtrir a b c a c b,
68,1,b c d = iso_triangle0 b c d ? eqangle b c c d c d b d,,"==========================
* From theorem premises:
Points : B, C, D
 (Premise)=> BC = BD [0]
 (Numerical Check)=> B, C, D are not collinear [1]

* Auxiliary Constructions:
Points : 

* Proof steps:
000. BC = BD [0], B, C, D are not collinear [1] (r13 Isosceles triangle equal angles)=> ∠(BC,CD) = ∠(CD,BD) [g0]
==========================",a b c = iso_triangle0 a b c ? eqangle a b b c b c a c,
